,nome,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,Koji,0.254283658,0.035427065,1,0.977532476,0.853262079,0.520041983,0.343095687,0.305811359,0.356105831,0.050846646,0.073445156,0.282537858,0.135708706,0.220407886,0.378904461,0.409061891,0.403693742,0.277770355,0.141691933,0.92340848,0.493384081,0.281432762,0.289043312,-0.064970715,0.283858556,0.25124176,0.293128017,0.290557868,0.703596803,0.298126173
1,Ariel,0.275171905,0.04408635,1,0.90957254,0.74695803,0.439892123,0.218186216,0.211601125,0.397607139,0.036141955,0.07830757,0.198780754,0.102402207,0.252993687,0.436937774,0.401976637,0.391165528,0.349871965,0.174789942,0.871446795,0.539346318,0.16460125,0.186749577,-0.063248422,0.305803401,0.268584015,0.387064049,0.387064049,0.71651187,0.278147531
2,Ariel,0.283990867,0.047967437,1,0.974226967,0.859617252,0.515795505,0.247263556,0.2613722,0.452261923,0.050938884,0.095510408,0.236365479,0.108432242,0.235678369,0.40187781,0.415891443,0.42903825,0.347958391,0.102076554,0.938507897,0.579508635,0.187175784,0.168467711,-0.060489925,0.314140414,0.293100127,0.3913726,0.3913726,0.786188125,0.233817538
3,Camila,0.306834535,0.055290307,1,0.975603527,0.846682406,0.515286673,0.270797575,0.273287084,0.410973344,0.067473236,0.098334387,0.257625081,0.098334387,0.233089359,0.411354794,0.401713113,0.399000237,0.365539406,0.171750054,0.948103566,0.527106965,0.266447272,0.269944044,-0.070540201,0.29016357,0.270378059,0.368086943,0.354973903,0.7531303,0.245538413
4,Camila,0.313418391,0.073745835,1,0.963172058,0.822276415,0.490941657,0.255168626,0.241217586,0.417170063,0.061348539,0.073618246,0.251529009,0.092837185,0.239573702,0.399720092,0.392345789,0.409919534,0.371634932,0.171775908,0.908494787,0.556230722,0.29844179,0.286208635,-0.076685673,0.315459836,0.291811551,0.380558787,0.370587831,0.7511549,0.246083575
5,Edu,0.295567721,0.074779532,1,0.925638584,0.795281108,0.472008615,0.224424533,0.226051129,0.354030291,0.049680817,0.06859282,0.236065578,0.13055992,0.205027441,0.401882584,0.386648572,0.365213674,0.339378367,0.161582036,0.813817064,0.513152116,0.232437673,0.189637158,-0.065206072,0.291739597,0.262732791,0.340197987,0.358307286,0.763484038,0.264687616
6,Edu,0.253243239,0.040226645,1,0.96292333,0.83557198,0.4925877,0.308623054,0.246580572,0.339008394,0.047550863,0.077498426,0.297192897,0.130899892,0.190296304,0.375971991,0.385689248,0.394271285,0.312258953,0.137224616,0.934877684,0.494597471,0.244368892,0.235807731,-0.065382437,0.284605924,0.249080534,0.371051014,0.298497681,0.75822441,0.255620425
7,Edu,0.294032734,0.068672935,1,0.942906987,0.802514799,0.477594486,0.239686937,0.234816653,0.356629036,0.038204163,0.063673605,0.261061781,0.133714571,0.203855002,0.411266783,0.394173741,0.391667904,0.341922149,0.146449292,0.851459497,0.543011678,0.220811747,0.203979374,-0.085959367,0.317174825,0.289786758,0.354748278,0.373129499,0.782230694,0.259744101
9,Edu,0.257013763,0.02850511,1,0.986327517,0.851049592,0.499090341,0.30452664,0.353490381,0.519524009,0.041789741,0.053729668,0.298736857,0.077838795,0.238873136,0.40367797,0.394187064,0.415505556,0.302207874,0.167158966,0.85055748,0.530705096,0.262158832,0.263536242,-0.074624538,0.305379471,0.279732045,0.305927844,0.352682863,0.650282984,0.317619141
10,Enzo,0.258106466,0.045202159,1,1.000053781,0.88022374,0.51499564,0.271840862,0.275509242,0.473045411,0.023951666,0.041915416,0.29395731,0.077842916,0.239516664,0.392311382,0.403168041,0.422487966,0.318265013,0.101970545,0.918027836,0.557696513,0.230630505,0.227718096,-0.077842916,0.320968528,0.282553808,0.383694183,0.379182189,0.653066717,0.281176502
